address,category,description,email,hotelClass,image,latitude,longitude,name,phone,priceLevel,rating,subcategories/0,website,amenities
"50 Av Habib Bourguiba BP 73, Tunis 1001 Tunisia",hotel,"Africa Hotel is an excellent choice for travelers visiting Tunis, offering a family-friendly environment alongside many helpful amenities designed to enhance your stay.
Guest rooms offer amenities such as air conditioning, and guests can go online with free wifi offered by the hotel.
Africa Hotel features a 24 hour front desk, a concierge, and room service, to help make your stay more enjoyable. The property also boasts a lounge. If you are driving to Hotel Africa Tunis, free parking is available.
Close to Monument to Ibn Khaldoun (0.2 mi), a popular Tunis landmark, Hotel Africa Tunis is a great destination for tourists.
When you’re feeling hungry, be sure to check out La Salle a Manger, Chez Slah, and Fondouk El Attarine, which are some Mediterranean restaurants that are popular with locals and out-of-towners alike.
During your visit, be sure to check out popular attractions like Medina of Tunis (0.7 mi), Bab El Bhar (0.4 mi), and Cathedral of St. Vincent de Paul (0.2 mi), which are all within walking distance of the hotel.
Enjoy your stay in Tunis!
",info.africa@elmouradi.com,5.0,https://media-cdn.tripadvisor.com/media/photo-o/09/db/5c/2b/caption.jpg,36.799534,10.183224,Africa Hotel,+216 71 347 477,Cheap,3.5,Hotel,https://hotel-africa-tunis.h-rez.com/contact.htm,"Internet,Suites,Room service"
"Les Cotes de Cathage, Gammarth 00000 Tunisia",hotel,"Beautifully positioned on an unspoiled sandy beach on the Côtes de Carthage, the Ramada Plaza Tunis is ideal for relaxing holiday or a business stay. We invite you to sleep in comfort, dine in style, work in peace and relax in luxury. The hotel's 305 rooms and suites designed to oﬀer exceptional comfort and large parts of them have extensive view of the sea, the forest and the pool from their private balcony. Ramada Plaza Tunis hotel is one of the best equipped conference venues of the Côtes de Carthage. Our Conference and Event Team oﬀer the opportunity to combine highly eﬀective, perfectly equipped meeting spaces with the most delightful and refresh resort environment. Choose from our 12 attractive and versatile conference and meeting rooms (with a capacity of 1300 people) with equipment, distinctive amenities and attractive packages.",,5.0,https://media-cdn.tripadvisor.com/media/photo-o/1c/d2/50/6d/pool.jpg,36.925297,10.280284,Ramada Plaza by Wyndham Tunis,+216 71 911 100,Mid-range,4.0,Hotel,http://www.wyndhamhotels.com/ramada/gammarth-tunisia/ramada-plaza-tunis/overview,"Pool,Free parking,Room service"
"B.p 705, Gammarth 2078 Tunisia",hotel,"Welcome to The Regency Tunis Hotel, one of the leading 5 star business hotels in Tunisia. Situated in a calm and relaxing environment directly next to the beach, all 227 luxurious rooms and suites offer a beautiful view onto the Mediterranean Sea, the magnificent pool or the relaxing garden. The spacious Lobby provides a feeling of tranquility and with the sunlight shinning through the Sky Dome, the lobby provides a warm and welcoming atmosphere. The hallways and staircases are decorated with paintings that reflect the charm of the Tunisian culture. With a variety of 6 different and exquisite restaurants, a modern and elegant Spa, fully equipped Conference Centers, and free wireless internet connection throughout the hotel, The Regency Tunis Hotel offers you the services and facilities that will exceed your expectations and ensure that you receive a memorable and unique experience.",reservations@regencytunis.com,5.0,https://media-cdn.tripadvisor.com/media/photo-o/02/d7/74/64/regency-tunis-hotel.jpg,36.939632,10.252595,Regency Tunis Hotel,+216 71 910 900,Mid-range,3.5,Hotel,https://www.facebook.com/regencytunis/?rc=p,"Pool,Internet,Room service"
"5 _ 10 Rue Dar El Jeld,, Tunis 1006 Tunisia",hotel,"Finding an ideal luxury small hotel in Tunis does not have to be difficult. Welcome to DAR EL JELD Hotel & Spa, a nice option for travelers like you.
Rooms at DAR EL JELD Hotel & Spa offer air conditioning and a minibar providing exceptional comfort and convenience.
A concierge and room service are some of the conveniences offered at this small hotel. Free breakfast will also help to make your stay even more special.
Close to Zitouna Mosque (3.1 mi), a popular Tunis landmark, DAR EL JELD Hotel & Spa is a great destination for tourists.
While visiting Tunis, you may want to try some tapas at one of the nearby restaurants, such as Le Comptoir de Tunis.
Plus, during your trip, don't forget to check out a history museum, such as National military museum.
DAR EL JELD Hotel & Spa puts the best of Tunis at your fingertips, making your stay both relaxing and enjoyable.
",Contact@dareljeld.com,5.0,https://media-cdn.tripadvisor.com/media/photo-o/16/33/73/77/dar-el-jeld-hotel-spa.jpg,36.7988,10.168878,Dar El Jeld Hotel & Spa,+216 70 016 190,Mid-range,4.5,Hotel,http://www.dareljeld.com/fr/,"Internet,Shuttle Bus Service,Suites"
"Rue de la Feuille d'Erable Cite les Pins, Les Berges du Lac 2, Tunis 1053 Tunisia",hotel,"Ideal Welcome place for your stays of short and long-term, a mix between the comfort and luxury of a hotel room on one side and the space and the ease of an apartment, Corail Suites Hotel offers a new way to live pleasantly the hotel. Located in the heart of the business district of the Berges du Lac II of the capital, 5 minutes from Tunis-Carthage international airport, 10 Minutes from the city center, 2 minutes from the Park of Exhibition of the Kram and few steps from several embassies and financial institutions, The Corail Suites Offers all the necessary amenities to meet your needs and ensure you have a pleasant stay.",reservation@corail-suites.com,4.0,https://media-cdn.tripadvisor.com/media/photo-o/10/c6/91/de/vue-de-l-exterieure.jpg,36.847755,10.276454,Le Corail Suites Hotel,+216 71 268 000,Mid-range,4.5,Hotel,https://www.facebook.com/LeCorailSuitesHotel/,"Internet,Free Internet,Wifi"
"13 Avenue de France, Tunis 1002 Tunisia",hotel,"See why so many travelers make Tunisia Palace their hotel of choice when visiting Tunis. Providing an ideal mix of value, comfort and convenience, it offers a romantic setting with an array of amenities designed for travelers like you.
Tunisia Palace Golden Yasmin Hotel is a romantic hotel offering a flat screen TV and air conditioning in the rooms, and it is easy to stay connected during your stay as free wifi is offered to guests.
The hotel features a 24 hour front desk, a concierge, and room service. Plus, guests can enjoy a fitness center and a lounge, which have made this a popular choice among travelers visiting Tunis. For guests with a vehicle, free parking is available.
Close to Victoria Square (0.1 mi), a popular Tunis landmark, Tunisia Palace Golden Yasmin Hotel is a great destination for tourists.
While in Tunis, you may want to check out some of the restaurants that are a short walk away from Tunisia Palace, including El Ali (0.2 mi), Fondouk El Attarine (0.3 mi), and Chez Slah (0.4 mi).
If you’re looking for things to do, you can check out Medina of Tunis (0.3 mi), Bab El Bhar (0.1 mi), or Cathedral of St. Vincent de Paul (0.1 mi), which are popular attractions amongst tourists, and they are all within walking distance.
We’re sure you’ll enjoy your stay at Tunisia Palace as you experience all of the things Tunis has to offer.
",contact@tunisiapalace.com,4.0,https://media-cdn.tripadvisor.com/media/oyster/2600/06/04/a4/8b/suite--v2419129.jpg,36.799,10.1764,Tunisia Palace Hotel,+216 71 242 700,Cheap,4.0,Hotel,http://www.tunisiapalace.com,"Restaurant,Internet,Free Internet"
"Avenue Taieb Mhiri B P 36, La Marsa 2078 Tunisia",hotel,"The Mövenpick hotel Gammarth Tunis is a unique and modern location for guests who value perfection. Located in an exclusive residential area, this hotel overlooks the beautiful bays of the Mediterranean and the hills of Sidi Bou Said. The hotel can be easily reached by car from the airport. It is only a few minutes away from la Marsa and Carthage. Within the Hotel, two restaurants overlook the sea and a Moroccan restaurant offers an oriental atmosphere. Relax in the Kallisti spa, which boasts a fitness and health club.",hotel.gammarth.sales@movenpick.com,5.0,https://media-cdn.tripadvisor.com/media/photo-w/1d/96/b2/4a/exterior-view.jpg,36.894886,10.320964,Movenpick Hotel Gammarth Tunis,+216 71 741 444,Expensive,4.5,Hotel,https://www.movenpick.com/en/africa/tunisia/tunis/hotel-tunis-gammarth.html?utm_source=google&utm_medium=local&utm_campaign=hotel-MHR-Gammarth-Tunis&y_source=1_MTUzNjI2OTYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"Internet,Free Internet,Wifi"
"31 Av Habib Bourguiba, Tunis 1000 Tunisia",hotel,"Carlton Hotel Tunis: In the center of the Tunis city center! Perfectly located on the main street of Tunis city center, Avenue Habib Bourguiba, the Carlton Hotel offers a totally renovated setting close to several important destinations. On foot, by car or in public transportation, the majority of business or leisure spots are just 5 to 20 minutes away from the Carlton, including The Tunis-Carthage International Airport, the médina of Tunis and the Harbor of Tunis-La Goulette. We are surrounded by excellent restaurants and many shopping opportunities. We are a 3star hôtel with upper class service, and excellent breakfast . The Tunis Carlton is beautifully decorated with lots of original art pieces (sculpture; paintings, photography ant street art. The best ""Boutique hotel"" in Tunis, in the center of downtown Tunis!",welcome@hotelcarltontunis.com,3.0,https://media-cdn.tripadvisor.com/media/photo-o/1b/5e/4e/81/the-carlton-loby-art.jpg,36.800247,10.183447,Hotel Carlton Tunis,+216 71 256 152,Cheap,4.0,Hotel,http://www.hotelcarltontunis.com/,"Internet,Free Internet,Wifi"
"44 Avenue Mohamed V, Tunis 1002 Tunisia",hotel,"Looking for a place to stay in Tunis? Then look no further than Novotel Mohamed V, a hotel that brings the best of Tunis to your doorstep.
Rooms at Novotel Mohamed V offer a flat screen TV, air conditioning, and a minibar providing exceptional comfort and convenience, and guests can go online with free wifi.
A concierge and room service are some of the conveniences offered at this hotel. A rooftop pool and a lounge will also help to make your stay even more special. If you are driving to Novotel Mohamed V, free parking is available.
Nearby landmarks such as Mosque Kasbah (1.4 mi) and Kasbah Square (1.4 mi) make Novotel Mohamed V a great place to stay when visiting Tunis.
When you’re feeling hungry, be sure to check out Restaurant l'ardoise, L'Entracte Cafe Restaurant Tunis, and La Focaccia, which are some Italian restaurants that are popular with locals and out-of-towners alike.
Best of all, Novotel Mohamed V makes it easy to experience many great Tunis attractions like Medina of Tunis, Bab El Bhar, and Dar Lasram, which are some popular historic sites.
We’re sure you’ll enjoy your stay at Novotel Mohamed V as you experience everything Tunis has to offer.
",H6145@accor.com,4.0,https://media-cdn.tripadvisor.com/media/photo-w/2c/24/f4/49/exterior-view.jpg,36.811478,10.184203,Novotel Tunis,+216 71 830 500,Mid-range,4.0,Hotel,https://all.accor.com/hotel/6145/index.fr.shtml?utm_campaign=seo+maps&utm_medium=seo+maps&utm_source=google+Maps,"Pool,Internet,Free Internet"
"Centre Urbain Nord Zohra Faiza, Tunis 1082 Tunisia",hotel,"Let your mind travel and explore historical & cultural attractions; the Medina, Carthage and the Bardo Museum & get inspired by the local hospitality and authentic culture. Reserve a room or suite designed to be a space to work, relax, reflect and be your best self. Re-energize your body and mind at our Fitness Center followed by a fresh drink at the breezing rooftop bar. Inspired by Tunisia’s cultural heritage with the refined flavors, our culinary team offers a variety of delicious snacks and beverages for an inspiring dining experience. Please note: the SPA will open in the beginning of May 2023.",,5.0,https://media-cdn.tripadvisor.com/media/photo-m/1280/2c/04/b7/c4/junior-suite.jpg,36.84716,10.200941,Tunis Marriott Hotel,18446310595,Expensive,4.5,Hotel,https://www.facebook.com/TunisMarriott/,"Suites,Room service,Wheelchair access"
